ERPset,idx,Y,Domain,tmp,Cond4,Position,ROI
14,14,4.26,1.00,14.00,4.00,3.00,2.00
14,18,-5.03,2.00,2.00,1.00,0.00,2.00
14,22,-0.41,2.00,6.00,2.00,1.00,2.00
14,26,-0.23,2.00,10.00,3.00,2.00,2.00
14,30,6.84,2.00,14.00,4.00,3.00,2.00
14,34,-5.75,3.00,2.00,1.00,0.00,2.00
14,38,-3.96,3.00,6.00,2.00,1.00,2.00
14,42,-3.36,3.00,10.00,3.00,2.00,2.00
14,46,-0.78,3.00,14.00,4.00,3.00,2.00
13,2,2.28,1.00,2.00,1.00,0.00,2.00
13,6,2.49,1.00,6.00,2.00,1.00,2.00
13,10,2.18,1.00,10.00,3.00,2.00,2.00
13,14,5.20,1.00,14.00,4.00,3.00,2.00
13,18,1.12,2.00,2.00,1.00,0.00,2.00
13,22,0.75,2.00,6.00,2.00,1.00,2.00
13,26,1.37,2.00,10.00,3.00,2.00,2.00
13,30,5.38,2.00,14.00,4.00,3.00,2.00
13,34,-1.65,3.00,2.00,1.00,0.00,2.00
13,38,-1.40,3.00,6.00,2.00,1.00,2.00
13,42,0.71,3.00,10.00,3.00,2.00,2.00
13,46,1.02,3.00,14.00,4.00,3.00,2.00
11,2,1.37,1.00,2.00,1.00,0.00,2.00
11,6,5.33,1.00,6.00,2.00,1.00,2.00
11,10,6.52,1.00,10.00,3.00,2.00,2.00
11,14,15.68,1.00,14.00,4.00,3.00,2.00
11,18,1.54,2.00,2.00,1.00,0.00,2.00
11,22,3.73,2.00,6.00,2.00,1.00,2.00
11,26,5.77,2.00,10.00,3.00,2.00,2.00
11,30,11.63,2.00,14.00,4.00,3.00,2.00
11,34,1.79,3.00,2.00,1.00,0.00,2.00
11,38,-1.51,3.00,6.00,2.00,1.00,2.00
11,42,0.80,3.00,10.00,3.00,2.00,2.00
11,46,9.30,3.00,14.00,4.00,3.00,2.00
10,2,1.79,1.00,2.00,1.00,0.00,2.00
10,6,2.13,1.00,6.00,2.00,1.00,2.00
10,10,3.61,1.00,10.00,3.00,2.00,2.00
10,14,3.68,1.00,14.00,4.00,3.00,2.00
